operation_id,time_update,manpower_update,material_update,confidence,frequency,time_overrun_rate,manpower_overrun_rate,material_overuse_rate,reasons
OP_1001,,1.0,,LOW,1,0.0,1.0,0.0,Avg manpower gap 1.0
OP_1004,,,1.0,LOW,1,0.0,0.0,1.0,Avg material gap 1.0
OP_1005,,1.0,,LOW,1,0.0,1.0,0.0,Avg manpower gap 1.0
OP_1008,,,2.0,LOW,1,0.0,0.0,1.0,Avg material gap 2.0
OP_1009,,1.0,,LOW,1,0.0,1.0,0.0,Avg manpower gap 1.0
OP_1010,,,1.0,LOW,1,0.0,0.0,1.0,Avg material gap 1.0
OP_1011,-1.19,,1.0,LOW,1,0.0,0.0,1.0,Avg time gap -1.19 hrs; Avg material gap 1.0
OP_1012,,1.0,1.0,LOW,1,0.0,1.0,1.0,Avg manpower gap 1.0; Avg material gap 1.0
OP_1015,,,2.0,LOW,1,0.0,0.0,1.0,Avg material gap 2.0
OP_1017,,,3.0,LOW,1,0.0,0.0,1.0,Avg material gap 3.0
OP_1018,,1.0,1.0,LOW,1,0.0,1.0,1.0,Avg manpower gap 1.0; Avg material gap 1.0
OP_1020,-0.71,1.0,1.0,LOW,1,0.0,1.0,1.0,Avg time gap -0.71 hrs; Avg manpower gap 1.0; Avg material gap 1.0
OP_1021,,,2.0,LOW,1,0.0,0.0,1.0,Avg material gap 2.0
OP_1022,,,1.0,LOW,1,0.0,0.0,1.0,Avg material gap 1.0
OP_1023,,,1.0,LOW,1,0.0,0.0,1.0,Avg material gap 1.0
OP_1026,,1.0,2.0,LOW,1,0.0,1.0,1.0,Avg manpower gap 1.0; Avg material gap 2.0
OP_1027,,,1.0,LOW,1,0.0,0.0,1.0,Avg material gap 1.0
OP_1029,,,1.0,LOW,1,0.0,0.0,1.0,Avg material gap 1.0
OP_1032,,,1.0,LOW,1,0.0,0.0,1.0,Avg material gap 1.0
OP_1033,-1.59,1.0,,LOW,1,0.0,1.0,0.0,Avg time gap -1.59 hrs; Avg manpower gap 1.0
OP_1036,,1.0,,LOW,1,0.0,1.0,0.0,Avg manpower gap 1.0
OP_1038,,,1.0,LOW,1,0.0,0.0,1.0,Avg material gap 1.0
OP_1040,,1.0,1.0,LOW,1,0.0,1.0,1.0,Avg manpower gap 1.0; Avg material gap 1.0
OP_1042,0.94,,,LOW,1,1.0,0.0,0.0,Avg time gap 0.94 hrs
OP_1043,,,1.0,LOW,1,0.0,0.0,1.0,Avg material gap 1.0
OP_1045,-0.62,1.0,,LOW,1,0.0,1.0,0.0,Avg time gap -0.62 hrs; Avg manpower gap 1.0
OP_1046,-1.16,,2.0,LOW,1,0.0,0.0,1.0,Avg time gap -1.16 hrs; Avg material gap 2.0
